,year,milage,price
0,2020,"51,632 miles","$26,641"
1,2017,"57,505 miles","$19,995"
2,2022,"26,352 miles","$39,000"
3,2020,"108,231 miles","$19,490"
4,2020,"54,135 miles","$24,998"
5,2019,"99,474 miles","$19,695"
6,2020,"5,800 miles","$21,995"
7,2015,"85,299 miles","$11,991"
8,2009,"111,345 miles","$7,995"
9,2020,"61,103 miles","$24,989"
10,2020,"107,882 miles","$19,888"
11,2020,"61,486 miles","$24,499"
12,1997,"52,000 miles","$9,999"
13,2020,"60,829 miles","$24,950"
14,2016,"79,144 miles","$15,900"
15,2020,"27,806 miles","$30,587"
16,2020,"11,087 miles","$31,887"
17,2020,"13,945 miles","$29,985"
18,2020,"22,880 miles","$29,265"
19,2016,"114,171 miles","$13,410"
20,2020,"52,683 miles","$37,495"
21,2015,"88,670 miles","$15,999"
22,2017,"101,026 miles","$12,497"
23,2020,"69,433 miles","$24,911"
24,2021,"50,350 miles","$22,229"
25,2013,"109,135 miles","$9,595"
26,2015,"128,091 miles","$15,750"
27,2021,"58,661 miles","$27,597"
28,2007,"94,735 miles","$7,991"
29,2011,"66,739 miles","$7,994"
30,2011,"96,899 miles","$12,995"
31,2011,"70,000 miles","$21,500"
32,2014,"94,558 miles","$11,388"
33,2015,"66,969 miles","$18,995"
34,2019,"54,982 miles","$37,496"
35,2017,"54,481 miles","$46,999"
36,2020,"51,632 miles","$26,641"
37,2013,"40,145 miles","$36,950"
38,2020,"45,407 miles","$28,478"
39,2020,"43,777 miles","$29,500"
40,2017,"48,018 miles","$17,895"
41,2020,"29,800 miles","$28,500"
42,2015,"61,193 miles","$16,991"
43,2019,"58,578 miles","$24,744"
44,2011,"117,110 miles","$9,950"
45,2011,"141,812 miles","$8,499"
46,2014,"143,095 miles","$8,990"
47,2019,"97,381 miles","$18,997"
48,2019,"26,100 miles","$39,260"
49,2015,"129,616 miles","$10,975"
50,2017,"97,185 miles","$15,495"
51,2019,"62,140 miles","$24,495"
52,2011,"97,289 miles","$8,991"
